Apatani,English
Ngiika vacation ho ngo sote-sodun la date.,I roamed around during my vacation.
Ngo yasan takele ala tabyasiito.,I hurt my hand as I was splitting the firewood.
Hiika ho ngo ngiila cell phone mi bapasiito.,I lost my cell phone there (by your side).
Ali mi yamu chabyasiitii.,I got my leg burnt from stepping on the fire.
Barmii anyi hii henkosiisudo.,The two sisters love each other.
"Salix sikkimensis, Pyrus pashia, Ligustrum sp.",They are repaired once a year in late November through collective action.
"Chimonobambusa callosa, a variety of bamboo whose young shoots are edible.",The nods are studded with short thick conical spines.
Ngo tachinkuma.,I have never heard [of it].
Talle Valley.,The shoots usually sprout in April .
Ngiika yahii mi yasan ho tageto la do.,I drove my axe in the log.
Ngo moka speech mi tagotoku.,I missed to hear his speech.
B: Is he?,I don't believe!
"Mo ngiimi noho dadu, nii miidu, hiila takane.","He asked me where I am now, what I am doing and all."
Inka aji si takhodo.,This field is bare (i.
Mo taliipa siine.,He died accidentally.
Ngo imitalyi.,I shall sleep.
Ngo nunuka agin ho tobotalyi.,I shall go (down) along with you.
Ngo moluka agin ho dubotalyi.,I shall stay/sit with them.
Ngo tampyo ako mi tamba-tankasiinando.,I want to share some nice drink [with others].
Mo Tanii miyu ha?,Is he/she an Apatani?
Cobra Lily (Arisaema sp.,It has a foetid smell that attracts insects .
Ngo moka speech mi tapakuma.,I missed to hear his speech.
"Dicranopteris linearis), reeds (Phragmites karka), banana (Musa spp.","The leaves are burnt, distilled, fried and finally made into flat cakes."
Mo tapyopa biisidu.,He sings sweetly.
Ngo tare ayasiido.,I too am doing fine.
Mo anyiko tiiko bare tare nyikumane.,They two were without even a penny left.
"Ngo doctor mi ter kapate, medicine labiitii.","I saw the doctor also, and took some medicine."
Nowadays *tase flour is sometimes used to feed pigs.,The leaf is also used as a remedy against bodyache .
"Encycl: climbs up into the tree tops, and is a source of rattan cane.",The stem bears spikes on the nods.
Babo si tekuto la do.,This *babo mast is tilting.
No nii miitii?,What have you done?
Ngo sa mi tantiilakinma.,I cannot finish the tea (which I am supposed to drink).
So atotiika.,Do come over here!
Inngetiika.,You can go!
Lado la diikatotiika.,We call this fruit Bachin.
No Gandhi Market inla tiika.,You should go to Gandhi Market.
Apin diitiiku ha?,Have you had your meal?
Tiinariikhapa la ngo ude hokii inri.,I moved urgently from my house.
Ngo ane agin ho Itanagar tobotalyi.,I wil go [down] to Itanagar with my mother.
Ngo Bank Tinali botodo.,I may go (down) to Bank Tinali.
Simi miitoranso.,Let me finish this first!
Ngiimi football tugii pe.,Let me play football with you.
Ngo niimi football tugiiso.,I will let you play football with me.
Police diipyonii mi latudu pa la tulyaladu.,The police is waiting to catch the thief.
Ngunu ball tuminsiidu.,We are playing ball for pastime.
Turla daka yasi si tupo do.,The mug of water is half full.
Gramm: used when referring to a particular measurement.,"When enumerating only, as in school, *tukun is used instead."
Ngo basket ball mi basket ura ho rilii-rikhato.,I failed to throw the ball into the basket.
Mo uye kiibiinenii nyan hime so khegiido nii.,He gave a blow so the child is crying.
Encycl: basically the reciprocal of the relationship to a maternal uncle.,"That is, a person will address as *ya anyone who calls him or her as '*aku'."
"Niika Tanii agun kenii sii ano puri-ripyosiido, ngo ya aya kechinmarampa ke.",The way you write Apatani is very easy to read.
Yo hii yabunto la do.,The meat is half-burnt.
Yasan si yabun-yalyunto la do.,The firewood is half-/improperly burnt.
Yamu agin ho dulyi ho yabyado.,When I seat near the fire I get too heated.
"Murun, and is equivalent to 1,5 kg, or 6 *kiihe, of unhusked paddy.",It is never used for daily activities nor serves any other purpose.
Ngiimi nyabe yakinyo.,Don't frown at me!
Kere talo si yalo bidonii ayumapa tachenedo.,"There is a slight crack running along the mirror, it may soon break."
"Mo yapa ho, .",When he was young.
Lemba daka yapa atan hii.,The village youngsters.
Apatani women.,The practice has gradually fallen into decline from the 70's onwards.
"Cinnamomum tree between them, whose edges are tightly bound together.",The rain shield is held by means of bamboo straps resting on the forehead.
Tabu alyo yiludu.,The snake sheds its skin.
No luyoka.,You don't speak!
Yorlu ngoro.,A vast garden.
Mo no yu inne nii?,Where did he/she go?
Inka ude atan si nii miikopa yu?,What are those houses for?
Hu yu momi miine nii.,Who (is the one who) beat him?
